REGION,C_REGION,DISTRITO,C_DISTRITO,COMUNA,C_COMUNA
DE VALPARAISO,3005,DISTRITO 6,6006,CATEMU,2570
DE VALPARAISO,3005,DISTRITO 6,6006,HIJUELAS,2560
DE VALPARAISO,3005,DISTRITO 6,6006,LA CRUZ,2561
DE VALPARAISO,3005,DISTRITO 6,6006,LA LIGUA,2553
DE VALPARAISO,3005,DISTRITO 6,6006,LIMACHE,2576
DE VALPARAISO,3005,DISTRITO 6,6006,LLAILLAY,2571
DE VALPARAISO,3005,DISTRITO 6,6006,LOS ANDES,2549
DE VALPARAISO,3005,DISTRITO 6,6006,NOGALES,2562
DE VALPARAISO,3005,DISTRITO 6,6006,OLMUE,2577
DE VALPARAISO,3005,DISTRITO 6,6006,PANQUEHUE,2572
DE VALPARAISO,3005,DISTRITO 6,6006,PAPUDO,2555
DE VALPARAISO,3005,DISTRITO 6,6006,PETORCA,2556
DE VALPARAISO,3005,DISTRITO 6,6006,PUCHUNCAVI,2545
DE VALPARAISO,3005,DISTRITO 6,6006,PUTAENDO,2573
DE VALPARAISO,3005,DISTRITO 6,6006,QUILLOTA,2558
DE VALPARAISO,3005,DISTRITO 6,6006,QUILPUE,2575
DE VALPARAISO,3005,DISTRITO 6,6006,QUINTERO,2546
DE VALPARAISO,3005,DISTRITO 6,6006,RINCONADA,2551
DE VALPARAISO,3005,DISTRITO 6,6006,SAN ESTEBAN,2552
DE VALPARAISO,3005,DISTRITO 6,6006,SAN FELIPE,2569
DE VALPARAISO,3005,DISTRITO 6,6006,SANTA MARIA,2574
DE VALPARAISO,3005,DISTRITO 6,6006,VILLA ALEMANA,2578
DE VALPARAISO,3005,DISTRITO 6,6006,ZAPALLAR,2557
DE VALPARAISO,3005,DISTRITO 7,6007,ALGARROBO,2564
DE VALPARAISO,3005,DISTRITO 7,6007,CARTAGENA,2565
DE VALPARAISO,3005,DISTRITO 7,6007,CASABLANCA,2542
DE VALPARAISO,3005,DISTRITO 7,6007,CONCON,2543
DE VALPARAISO,3005,DISTRITO 7,6007,EL QUISCO,2566
DE VALPARAISO,3005,DISTRITO 7,6007,EL TABO,2567
DE VALPARAISO,3005,DISTRITO 7,6007,ISLA DE PASCUA,2548
DE VALPARAISO,3005,DISTRITO 7,6007,JUAN FERNANDEZ,2544
DE VALPARAISO,3005,DISTRITO 7,6007,SAN ANTONIO,2563
DE VALPARAISO,3005,DISTRITO 7,6007,SANTO DOMINGO,2568
DE VALPARAISO,3005,DISTRITO 7,6007,VALPARAISO,2541
DE VALPARAISO,3005,DISTRITO 7,6007,VIÑA DEL MAR,2547
METROPOLITANA DE SANTIAGO,3013,DISTRITO 8,6008,CERRILLOS,2759
METROPOLITANA DE SANTIAGO,3013,DISTRITO 8,6008,COLINA,2793
METROPOLITANA DE SANTIAGO,3013,DISTRITO 8,6008,ESTACION CENTRAL,2763
METROPOLITANA DE SANTIAGO,3013,DISTRITO 8,6008,LAMPA,2794
METROPOLITANA DE SANTIAGO,3013,DISTRITO 8,6008,MAIPU,2776
METROPOLITANA DE SANTIAGO,3013,DISTRITO 8,6008,PUDAHUEL,2781
METROPOLITANA DE SANTIAGO,3013,DISTRITO 8,6008,QUILICURA,2782
METROPOLITANA DE SANTIAGO,3013,DISTRITO 8,6008,TILTIL,2795
METROPOLITANA DE SANTIAGO,3013,DISTRITO 9,6009,CERRO NAVIA,2760
METROPOLITANA DE SANTIAGO,3013,DISTRITO 9,6009,CONCHALI,2761
METROPOLITANA DE SANTIAGO,3013,DISTRITO 9,6009,HUECHURABA,2764
METROPOLITANA DE SANTIAGO,3013,DISTRITO 9,6009,INDEPENDENCIA,2765
METROPOLITANA DE SANTIAGO,3013,DISTRITO 9,6009,LO PRADO,2774
METROPOLITANA DE SANTIAGO,3013,DISTRITO 9,6009,QUINTA NORMAL,2783
METROPOLITANA DE SANTIAGO,3013,DISTRITO 9,6009,RECOLETA,2784
METROPOLITANA DE SANTIAGO,3013,DISTRITO 9,6009,RENCA,2785
METROPOLITANA DE SANTIAGO,3013,DISTRITO 10,6010,LA GRANJA,2768
METROPOLITANA DE SANTIAGO,3013,DISTRITO 10,6010,MACUL,2775
METROPOLITANA DE SANTIAGO,3013,DISTRITO 10,6010,ÑUÑOA,2777
METROPOLITANA DE SANTIAGO,3013,DISTRITO 10,6010,PROVIDENCIA,2780
METROPOLITANA DE SANTIAGO,3013,DISTRITO 10,6010,SAN JOAQUIN,2786
METROPOLITANA DE SANTIAGO,3013,DISTRITO 10,6010,SANTIAGO,2758
METROPOLITANA DE SANTIAGO,3013,DISTRITO 11,6011,LA REINA,2770
METROPOLITANA DE SANTIAGO,3013,DISTRITO 11,6011,LAS CONDES,2771
METROPOLITANA DE SANTIAGO,3013,DISTRITO 11,6011,LO BARNECHEA,2772
METROPOLITANA DE SANTIAGO,3013,DISTRITO 11,6011,PEÑALOLEN,2779
METROPOLITANA DE SANTIAGO,3013,DISTRITO 11,6011,VITACURA,2789
METROPOLITANA DE SANTIAGO,3013,DISTRITO 12,6012,LA FLORIDA,2767
METROPOLITANA DE SANTIAGO,3013,DISTRITO 12,6012,LA PINTANA,2769
METROPOLITANA DE SANTIAGO,3013,DISTRITO 12,6012,PIRQUE,2791
METROPOLITANA DE SANTIAGO,3013,DISTRITO 12,6012,PUENTE ALTO,2790
METROPOLITANA DE SANTIAGO,3013,DISTRITO 12,6012,SAN JOSE DE MAIPO,2792
METROPOLITANA DE SANTIAGO,3013,DISTRITO 13,6013,EL BOSQUE,2762
METROPOLITANA DE SANTIAGO,3013,DISTRITO 13,6013,LA CISTERNA,2766
METROPOLITANA DE SANTIAGO,3013,DISTRITO 13,6013,LO ESPEJO,2773
METROPOLITANA DE SANTIAGO,3013,DISTRITO 13,6013,PEDRO AGUIRRE CERDA,2778
METROPOLITANA DE SANTIAGO,3013,DISTRITO 13,6013,SAN MIGUEL,2787
METROPOLITANA DE SANTIAGO,3013,DISTRITO 13,6013,SAN RAMON,2788
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,ALHUE,2801
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,BUIN,2797
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,CALERA DE TANGO,2798
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,CURACAVI,2802
